38.1,10.9,8.7,8.6,2004.530485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,113673,0
51.9,54.2,51.2,0.2,0,1986.84507,2012.727294,2124.888908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124644,-63792616639
99,65.5,96.1,0.2,2091.148753,0,1529.162472,0,1225.206567,2015.754105,1219.110996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,123531,176.1605035
98.4,97.1,4.4,54.3,0,2214.875349,0,1994.706628,0,1999.24885,0,2000.774932,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,122720.7,-31896308565
97.8,100,49.9,1.2,1507.591112,0,2014.08496,1402.046278,1628.390455,0,1384.542786,1186.272622,1107.751699,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,127419,-31896308824
61.7,100,50.5,53.6,1007.415212,2005.265363,1991.344589,984.198247,989.1898478,1002.89517,0,0,1998.133824,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1,3,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135747,-63792617953
87.8,58.7,99.1,99.9,0,1262.282131,1979.149946,0,0,0,1996.72063,1209.607742,0,2018.577368,2125.466269,1437.70815,0,0,0,0,0,0,0,0,0,3,2,2,0,0,2,3,0,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,131220,-51034094564
25.2,97.2,100,100,1963.746736,0,1435.249203,1243.021675,0,0,1266.404975,2005.977573,0,1996.16065,0,1921.360211,0,0,0,0,0,0,0,0,1,3,2,2,-1,-1,2,3,-1,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,131523,105.1657355
53.4,55.9,99,99.8,0,2000.57248,0,2018.591009,1980.663882,1995.944834,1985.205587,1956.248002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,-1,0,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,140106,-47844464146
97.4,97.7,100,100,1014.210154,2002.572966,2006.666721,0,0,1982.645923,1991.676048,1099.702291,877.2311263,849.4215735,2003.925469,1987.525383,0,0,0,0,0,0,0,0,3,0,1,2,3,1,2,3,3,3,0,2,-1,-1,-1,-1,-1,-1,-1,-1,137226,248.981396
